time;temp
68580;-0.07
68640;-0.21
68700;-0.12
68760;-0.1
68820;-0.12
68880;-0.06
68940;-0.24
69000;-0.06
69060;0.11
69120;0.18
69180;0.23
69240;0.24
69300;0.26
69360;0.33
69420;0.27
69480;0.2
69540;0.18
69600;0.02
69660;0.03
69720;0.16
69780;0.03
69840;0.06
69900;0.1
69960;0.19
70020;0.17
70080;0.09
70140;-0.01
70200;0.04
70260;-0.13
70320;0.06
70380;0.03
70440;0.14
70500;0.08
70560;0.08
70620;-0.1
70680;0.19
70740;0.15
70800;0.04
70860;0.14
70920;0.04
70980;0.17
71040;0.25
71100;0.26
71160;0.28
71220;0.48
71280;0.3
71340;0.39
71400;0.3
71460;0.3
71520;0.35
71580;0.2
71640;0.22
71700;0.18
71760;0.2
71820;0.13
71880;0.3
71940;0.22
72000;0.53
72060;0.42
72120;0.48
72180;0.32
72240;0.25
72300;0.29
72360;0.32
72420;0.35
72480;0.15
72540;0.12
72600;0.23
72660;0.41
72720;0.05
72780;0.16
72840;0.03
72900;0.15
72960;0.18
73020;0.06
73080;0.15
73140;0.04
73200;0.14
73260;0.13
73320;0.18
73380;0.43
73440;0.53
73500;0.43
73560;0.42
73620;0.28
73680;0.34
73740;0.23
73800;0.18
73860;0.36
73920;0.37
73980;0.17
74040;0.3
74100;0.17
74160;0.31
74220;0.14
74280;0.26
74340;0.06
74400;0.33
74460;0.02
74520;0.19
74580;0.19
74640;0.21
74700;0.14
74760;0.07
74820;-0.04
74880;0.22
74940;-0.04
75000;0.18
75060;0.12
75120;0.14
75180;0.15
75240;0.04
75300;0.17
75360;0.13
75420;0.12
75480;0.05
75540;0.14
75600;0.26
75660;0.37
75720;0.3
75780;0.22
75840;0.21
75900;0.12
75960;0.11
76020;0.16
76080;0.03
76140;0.15
76200;0.1
76260;0.13
76320;0.32
76380;0.43
76440;0.19
76500;0.24
76560;0.26
76620;0.35
76680;0.4
76740;0.25
76800;0.35
76860;0.33
76920;0.29
76980;0.46
77040;0.57
77100;0.44
77160;0.52
77220;0.43
77280;0.44
77340;0.4
77400;0.33
77460;0.39
77520;0.37
77580;0.38
77640;0.12
77700;0.29
77760;0.13
77820;0.3
77880;0.36
77940;0.43
